task,model,method,method_label,N,m,bias,abs_bias,mse,rmse,coverage,mean_width
agnews,Qwen/Qwen2.5-1.5B-Instruct,none,No correction,10,50,0.022249999999999995,0.022249999999999995,0.0024335,0.049330517937682346,0.805,0.14332598340188718
agnews,Qwen/Qwen2.5-1.5B-Instruct,split,Naive split,10,50,-0.0034166666666666716,0.0034166666666666716,0.004570277777777777,0.06760382960881563,0.85,0.2164234047811159
agnews,Qwen/Qwen2.5-1.5B-Instruct,union_K,Union bound over K,10,50,-0.053475713078369264,0.053475713078369264,0.0056219097229418084,0.07497939532259384,0.925,0.22444749001209238
agnews,Qwen/Qwen2.5-1.5B-Instruct,union_neff,Union bound over N_eff,10,50,0.006059027639711845,0.006059027639711845,0.0019537410945296542,0.04420114358848257,0.89,0.1585138809172537
agnews,Qwen/Qwen2.5-1.5B-Instruct,cross_fit,Cross-fitting,10,50,-0.004666666666666642,0.004666666666666642,0.0023371834666666698,0.04834442539390317,0.97,0.22392838278605237
agnews,Qwen/Qwen2.5-1.5B-Instruct,bootstrap,Bootstrap plug-in,10,50,0.0069164999999999964,0.0069164999999999964,0.002292750416666667,0.04788267344945003,0.805,0.14360978052796472
agnews,Qwen/Qwen2.5-1.5B-Instruct,none,No correction,10,100,0.014199999999999999,0.014199999999999999,0.0010127777777777785,0.031824169710736816,0.88,0.10572964343728727
agnews,Qwen/Qwen2.5-1.5B-Instruct,split,Naive split,10,100,0.00023333333333332206,0.00023333333333332206,0.002300444444444444,0.04796294866294653,0.89,0.15632401942294158
agnews,Qwen/Qwen2.5-1.5B-Instruct,union_K,Union bound over K,10,100,-0.040173688203727576,0.040173688203727576,0.0026154717860519525,0.05114168344953021,0.94,0.16557188393978362
agnews,Qwen/Qwen2.5-1.5B-Instruct,union_neff,Union bound over N_eff,10,100,0.002388648749191964,0.002388648749191964,0.000801527383517355,0.028311258953238994,0.965,0.11725672894940015
agnews,Qwen/Qwen2.5-1.5B-Instruct,cross_fit,Cross-fitting,10,100,-0.005927999999999969,0.005927999999999969,0.0009564382222222226,0.03092633541534177,0.99,0.16026557019518678
agnews,Qwen/Qwen2.5-1.5B-Instruct,bootstrap,Bootstrap plug-in,10,100,0.0024952499999999957,0.0024952499999999957,0.0009150513819444462,0.03024981622992851,0.905,0.10532243248104212
agnews,Qwen/Qwen2.5-1.5B-Instruct,none,No correction,10,200,0.00644166666666667,0.00644166666666667,0.0003617083333333339,0.019018631216082136,0.94,0.07661614886034522
agnews,Qwen/Qwen2.5-1.5B-Instruct,split,Naive split,10,200,-0.005166666666666673,0.005166666666666673,0.0010622222222222235,0.03259175083088087,0.925,0.11221454671384552
agnews,Qwen/Qwen2.5-1.5B-Instruct,union_K,Union bound over K,10,200,-0.032058862438881314,0.032058862438881314,0.0014005257208318184,0.03742359844846321,0.98,0.11998035455915029
agnews,Qwen/Qwen2.5-1.5B-Instruct,union_neff,Union bound over N_eff,10,200,-0.001829734387644094,0.001829734387644094,0.00033186805776160634,0.018217246162952467,0.97,0.08490035282330054
agnews,Qwen/Qwen2.5-1.5B-Instruct,cross_fit,Cross-fitting,10,200,-0.006718666666666659,0.006718666666666659,0.0004236376444444443,0.02058245963057973,0.99,0.11324486449284236
